suite,model,target,case_id,status,elicitation_success,pareto_gain,hallucination_rate,turns,transcript_path,error_type,error,target_turn_count,echo_rate,probe_question_rate,pareto_diff_rate,uniform_weight_rate,constant_variance_rate,golden_first_mention_role,golden_first_mention_turn,golden_first_mention_school,target_supplied_golden_evidence,target_golden_evidence_count,golden_echo_target_count,acceptable_candidate_count,acceptable_candidate_hit,acceptable_candidate_hit_ids,acceptable_first_mention_role,acceptable_first_mention_turn,acceptable_first_mention_school,target_supplied_acceptable_evidence,target_acceptable_evidence_count,acceptable_echo_target_count,exact_golden_hit,constraint_count,diagnostic_axis,score_band,probe_gold_dims,weight_gold_dims,expected_msti
baseline,Pro/zai-org/GLM-5.1,v1_prompt_cot,micro-oracle-major_tier,ok,False,0.0,0.0,7,gaokaollm_bench\outputs\unified_micro_oracle_baseline\Pro_zai-org_GLM-5.1\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_micro-oracle-major_tier.json,,,3,0.0,0.0,0.0,0.0,0.0,,,,False,0,0,5,False,,,,,False,0,0,False,1,major_tier,550-579,major,"school,quality",0.8375
baseline,Pro/zai-org/GLM-5.1,v1_prompt_cot,micro-oracle-geo_tier,ok,False,0.0,0.5,7,gaokaollm_bench\outputs\unified_micro_oracle_baseline\Pro_zai-org_GLM-5.1\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_micro-oracle-geo_tier.json,,,3,0.0,0.0,0.0,0.0,0.0,,,,False,0,0,5,False,,,,,False,0,0,False,1,geo_tier,550-579,geo,school,0.60666667
baseline,Pro/zai-org/GLM-5.1,v1_prompt_cot,micro-oracle-risk_tier,ok,True,619.0,0.0,5,gaokaollm_bench\outputs\unified_micro_oracle_baseline\Pro_zai-org_GLM-5.1\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_micro-oracle-risk_tier.json,,,2,0.0,0.0,0.0,0.0,0.0,target_agent,2,宁波大学,True,2,0,4,True,"admission:186,admission:302,admission:105588",target_agent,2,宁波大学,True,2,0,True,1,risk_tier,610-639,school,school,0.55
baseline,Pro/zai-org/GLM-5.1,v1_prompt_cot,micro-oracle-major_quality,ok,False,0.0,0.75,7,gaokaollm_bench\outputs\unified_micro_oracle_baseline\Pro_zai-org_GLM-5.1\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_micro-oracle-major_quality.json,,,3,0.0,0.0,0.0,0.0,0.0,,,,False,0,0,5,False,,,,,False,0,0,False,1,major_quality,520-549,quality,"quality,major",0.4825
baseline,Pro/zai-org/GLM-5.1,v1_prompt_cot,micro-oracle-employment_outcome,ok,False,0.0,0.5,7,gaokaollm_bench\outputs\unified_micro_oracle_baseline\Pro_zai-org_GLM-5.1\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_micro-oracle-employment_outcome.json,,,3,0.0,0.0,0.0,0.0,0.0,,,,False,0,0,4,False,,,,,False,0,0,False,1,employment_outcome,520-549,quality,quality,0.75
baseline,Pro/zai-org/GLM-5.1,v1_prompt_cot,micro-oracle-tuition_value,ok,False,0.0,0.3333333333333333,7,gaokaollm_bench\outputs\unified_micro_oracle_baseline\Pro_zai-org_GLM-5.1\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_micro-oracle-tuition_value.json,,,3,0.0,0.0,0.0,0.0,0.0,,,,False,0,0,5,False,,,,,False,0,0,False,1,tuition_value,550-579,tuition,"school,quality",0.03
baseline,Pro/zai-org/GLM-5.1,v1_prompt_direct,micro-oracle-geo_tier,ok,False,0.0,0.75,7,gaokaollm_bench\outputs\unified_micro_oracle_baseline\Pro_zai-org_GLM-5.1\v1_prompt_direct\transcripts\v1_prompt_direct\transcript_micro-oracle-geo_tier.json,,,3,0.0,0.0,0.0,0.0,0.0,,,,False,0,0,5,False,,,,,False,0,0,False,1,geo_tier,550-579,geo,school,0.60666667
baseline,Pro/zai-org/GLM-5.1,v1_prompt_direct,micro-oracle-major_tier,ok,False,0.0,0.0,7,gaokaollm_bench\outputs\unified_micro_oracle_baseline\Pro_zai-org_GLM-5.1\v1_prompt_direct\transcripts\v1_prompt_direct\transcript_micro-oracle-major_tier.json,,,3,0.0,0.0,0.0,0.0,0.0,,,,False,0,0,5,False,,,,,False,0,0,False,1,major_tier,550-579,major,"school,quality",0.8375
baseline,Pro/zai-org/GLM-5.1,v1_prompt_direct,micro-oracle-risk_tier,ok,True,619.0,0.0,5,gaokaollm_bench\outputs\unified_micro_oracle_baseline\Pro_zai-org_GLM-5.1\v1_prompt_direct\transcripts\v1_prompt_direct\transcript_micro-oracle-risk_tier.json,,,2,0.0,0.0,0.0,0.0,0.0,target_agent,2,宁波大学,True,2,0,4,True,"admission:186,admission:302,admission:105588",target_agent,2,宁波大学,True,2,0,True,1,risk_tier,610-639,school,school,0.55
baseline,Pro/zai-org/GLM-5.1,v1_prompt_direct,micro-oracle-tuition_value,ok,False,0.0,0.2,7,gaokaollm_bench\outputs\unified_micro_oracle_baseline\Pro_zai-org_GLM-5.1\v1_prompt_direct\transcripts\v1_prompt_direct\transcript_micro-oracle-tuition_value.json,,,3,0.0,0.0,0.0,0.0,0.0,,,,False,0,0,5,False,,,,,False,0,0,False,1,tuition_value,550-579,tuition,"school,quality",0.03
