major_name,rule_status,rule_node_id,rule_label,suggested_node_id,suggested_label,similarity,high_similarity_mismatch
信息管理与信息系统,mismatch,communication_engineering,通信工程类,business_management,工商管理营销类,0.543860494929218,False
汉语国际教育,mismatch,languages_literature,语言文学类,journalism_media,新闻传播广告类,0.5689899530999947,False
生物工程,mismatch,materials_chemical,材料与化工类,bio_geo_ecology,生物地理生态类,0.5205830305124448,False
测控技术与仪器,mismatch,electronic_info,电子信息类,transportation_aerospace,交通运输与航空航天类,0.5618213349284404,False
思想政治教育,mismatch,education_psychology,教育心理类,history_philosophy_archives,历史哲学档案类,0.491614723016327,False
法语,mismatch,law_politics,法学政治类,music_dance_sports,音乐舞蹈体育类,0.4345119807271146,False
建筑环境与能源应用工程,mismatch,electrical_energy,电气与能源类,environment_safety,环境与安全类,0.6779505659570396,False
智能建造,mismatch,vocational_cost_construction,高职工程造价建筑施工类,data_ai,数据与人工智能类,0.5449494252815472,False
工科试验班,mismatch,computer_science,计算机科学类,materials_chemical,材料与化工类,0.6677359440138639,False
地理信息科学,match,bio_geo_ecology,生物地理生态类,bio_geo_ecology,生物地理生态类,0.5811770469714155,False
德语,mismatch,vocational_auto_aircraft,高职汽车航空设备类,music_dance_sports,音乐舞蹈体育类,0.4807920075378048,False
水利水电工程,mismatch,civil_architecture,土木建筑类,environment_safety,环境与安全类,0.5801308914463433,False
俄语,mismatch,journalism_media,新闻传播广告类,physics_chemistry,物理化学类,0.5592216876014791,False
法律事务,mismatch,law_politics,法学政治类,finance_accounting,金融会计财务类,0.4659198917330413,False
工业工程,match,mechanical_vehicle,机械与车辆类,mechanical_vehicle,机械与车辆类,0.5863447419841205,False
生物医学工程,mismatch,communication_engineering,通信工程类,medical_technology,医学技术类,0.5503842805909683,False
生物制药,mismatch,materials_chemical,材料与化工类,medical_pharmacy,药学类,0.5007949963812917,False
西班牙语,mismatch,languages_literature,语言文学类,music_dance_sports,音乐舞蹈体育类,0.4012704771923837,False
文化产业管理,mismatch,journalism_media,新闻传播广告类,film_animation_performance,影视动画表演类,0.5589606154554173,False
测绘工程,mismatch,vocational_road_survey_municipal,高职道路测量市政类,civil_architecture,土木建筑类,0.59713073923839,False
朝鲜语,mismatch,languages_literature,语言文学类,physics_chemistry,物理化学类,0.3393552763370768,False
会展经济与管理,mismatch,economics_trade,经济与贸易类,ecommerce_logistics_tourism,电商物流旅游类,0.5843648991007239,False
思想政治教育(师范),mismatch,education_psychology,教育心理类,history_philosophy_archives,历史哲学档案类,0.491614723016327,False
投资学,mismatch,economics_trade,经济与贸易类,finance_accounting,金融会计财务类,0.5343521881153944,False
应用化工技术,mismatch,materials_chemical,材料与化工类,environment_safety,环境与安全类,0.5891848675541629,False
物流工程,match,transportation_aerospace,交通运输与航空航天类,transportation_aerospace,交通运输与航空航天类,0.550916327558693,False
公共管理类,match,public_social_work,公共管理社会工作类,public_social_work,公共管理社会工作类,0.6890937281615818,False
道路桥梁与渡河工程,match,transportation_aerospace,交通运输与航空航天类,transportation_aerospace,交通运输与航空航天类,0.6028036451776545,False
纺织工程,mismatch,materials_chemical,材料与化工类,environment_safety,环境与安全类,0.5210295927960537,False
过程装备与控制工程,mismatch,materials_chemical,材料与化工类,environment_safety,环境与安全类,0.6241603604140585,False
土木类,match,civil_architecture,土木建筑类,civil_architecture,土木建筑类,0.7007654517314502,False
工程力学,mismatch,transportation_aerospace,交通运输与航空航天类,environment_safety,环境与安全类,0.5436398463744847,False
室内艺术设计,match,design_art,设计美术类,design_art,设计美术类,0.5165913893862356,False
建筑设计,match,civil_architecture,土木建筑类,civil_architecture,土木建筑类,0.5925882110183093,False
服装设计与工程,match,design_art,设计美术类,design_art,设计美术类,0.5548138239424327,False
烹饪工艺与营养,match,food_science,食品科学类,food_science,食品科学类,0.6227995177382344,False
电子竞技运动与管理,mismatch,vocational_ecommerce_live,高职电商直播数据类,ecommerce_logistics_tourism,电商物流旅游类,0.6038635829173735,False
工业互联网应用,mismatch,vocational_computer_network,高职计算机网络应用类,mechanical_vehicle,机械与车辆类,0.5127866394391492,False
环境监测技术,match,environment_safety,环境与安全类,environment_safety,环境与安全类,0.5717000431524378,False
保险学,match,finance_accounting,金融会计财务类,finance_accounting,金融会计财务类,0.5362869222057924,False
智能建造技术,mismatch,vocational_cost_construction,高职工程造价建筑施工类,mechanical_vehicle,机械与车辆类,0.5070204133987661,False
现代文秘,match,public_social_work,公共管理社会工作类,public_social_work,公共管理社会工作类,0.4731140077453549,False
融媒体技术与运营,match,journalism_media,新闻传播广告类,journalism_media,新闻传播广告类,0.589558100214867,False
城市地下空间工程,match,civil_architecture,土木建筑类,civil_architecture,土木建筑类,0.6337236328651782,False
管理科学与工程类,mismatch,ecommerce_logistics_tourism,电商物流旅游类,environment_safety,环境与安全类,0.6335060982357262,False
财富管理,match,finance_accounting,金融会计财务类,finance_accounting,金融会计财务类,0.5534554213937807,False
服装设计与工艺,match,design_art,设计美术类,design_art,设计美术类,0.6033713065334977,False
连锁经营与管理,match,ecommerce_logistics_tourism,电商物流旅游类,ecommerce_logistics_tourism,电商物流旅游类,0.6090715519725617,False
应用韩语,mismatch,vocational_ecommerce_live,高职电商直播数据类,physics_chemistry,物理化学类,0.45252595133957907,False
西式烹饪工艺,match,food_science,食品科学类,food_science,食品科学类,0.47007104001573374,False
