suite,model,target,case_id,status,elicitation_success,pareto_gain,hallucination_rate,turns,transcript_path,error_type,error,constraint_count,diagnostic_axis,score_band,probe_gold_dims,weight_gold_dims,expected_msti
baseline,Pro/deepseek-ai/DeepSeek-V3.2,app_pareto,one-constrain-geo_tier-580-003,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\app_pareto\transcripts\app_pareto\transcript_one-constrain-geo_tier-580-003.json,,,1,geo_tier,580-609,geo,school,0.63666667
baseline,Pro/deepseek-ai/DeepSeek-V3.2,app_pareto,one-constrain-geo_tier-640-005,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\app_pareto\transcripts\app_pareto\transcript_one-constrain-geo_tier-640-005.json,,,1,geo_tier,640-680,geo,school,0.51416667
baseline,Pro/deepseek-ai/DeepSeek-V3.2,app_pareto,one-constrain-geo_tier-520-001,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\app_pareto\transcripts\app_pareto\transcript_one-constrain-geo_tier-520-001.json,,,1,geo_tier,520-549,geo,school,0.6
baseline,Pro/deepseek-ai/DeepSeek-V3.2,app_pareto,one-constrain-major_tier-560-006,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\app_pareto\transcripts\app_pareto\transcript_one-constrain-major_tier-560-006.json,,,1,major_tier,520-549,major,"school,quality",0.79
baseline,Pro/deepseek-ai/DeepSeek-V3.2,app_pareto,one-constrain-major_tier-650-010,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\app_pareto\transcripts\app_pareto\transcript_one-constrain-major_tier-650-010.json,,,1,major_tier,640-680,major,"school,quality",0.5625
baseline,Pro/deepseek-ai/DeepSeek-V3.2,app_pareto,one-constrain-risk_tier-590-011,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\app_pareto\transcripts\app_pareto\transcript_one-constrain-risk_tier-590-011.json,,,1,risk_tier,520-549,school,school,0.25
baseline,Pro/deepseek-ai/DeepSeek-V3.2,app_pareto,one-constrain-risk_tier-600-013,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\app_pareto\transcripts\app_pareto\transcript_one-constrain-risk_tier-600-013.json,,,1,risk_tier,580-609,school,school,0.25
baseline,Pro/deepseek-ai/DeepSeek-V3.2,app_pareto,one-constrain-geo_tier-550-002,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\app_pareto\transcripts\app_pareto\transcript_one-constrain-geo_tier-550-002.json,,,1,geo_tier,550-579,geo,school,0.6075
baseline,Pro/deepseek-ai/DeepSeek-V3.2,app_pareto,one-constrain-risk_tier-680-015,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\app_pareto\transcripts\app_pareto\transcript_one-constrain-risk_tier-680-015.json,,,1,risk_tier,640-680,school,school,0.6
baseline,Pro/deepseek-ai/DeepSeek-V3.2,app_pareto,one-constrain-tuition_value-550-017,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\app_pareto\transcripts\app_pareto\transcript_one-constrain-tuition_value-550-017.json,,,1,tuition_value,550-579,tuition,"school,quality",0.3978
