suite,model,target,ablation_mode,case_id,status,elicitation_success,pareto_gain,hallucination_rate,turns,transcript_path,mae,topk_f1,boi,sum_var_start,sum_var_end,eudr_slope,eudr_ratio,pcg_first_hit_turn,pcg_final_coverage,pcg_hit_count,first_valid_probe_turn,valid_probe_hit_count,valid_probe_hit_rate,valid_probe_coverage,covered_valid_probe_dims,covered_valid_probe_keys,msti_mean,msti_max,msti_observed_count,ctr_opportunities,cardinal_trigger_count,cardinal_trigger_rate,accept_count,reject_count,rejection_turn,kbv_opportunities,kbv_violations,kbv_rate,final_weights_json,error_type,error,target_turn_count,echo_rate,probe_question_rate,pareto_diff_rate,uniform_weight_rate,constant_variance_rate,golden_first_mention_role,golden_first_mention_turn,golden_first_mention_school,target_supplied_golden_evidence,target_golden_evidence_count,golden_echo_target_count,acceptable_candidate_count,acceptable_candidate_hit,acceptable_candidate_hit_ids,acceptable_first_mention_role,acceptable_first_mention_turn,acceptable_first_mention_school,target_supplied_acceptable_evidence,target_acceptable_evidence_count,acceptable_echo_target_count,exact_golden_hit,constraint_count,diagnostic_axis,score_band,probe_gold_dims,weight_gold_dims,expected_msti
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-geo_tier-580-003,ok,True,1.0,0.16666666666666666,7,gaokaollm_bench\outputs\unified_adaptive_arena_fixed\c1\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-geo_tier-580-003.json,0.17348578608145965,0.0,1.0,5.0,1.25,1.875,0.75,1,1.0,2,1,2,0.6666666666666666,0.6666666666666666,geo,"major_geo_relax,region_tree_relax",1.0,1.0,2,3,1,0.3333333333333333,1,1,7,0,0,0.0,"{""school"": 0.13314276739817543, ""major"": 0.13314276739817543, ""tuition"": 0.13314276739817543, ""quality"": 0.13314276739817543, ""geo"": 0.4674289304072983}",,,3,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,target_agent,6,华中农业大学,True,1,0,1,True,74:183:2025:579,target_agent,6,华中农业大学,True,1,0,True,1,geo_tier,580-609,geo,school,0.63666667
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-geo_tier-630-004,ok,True,1.0,1.0,3,gaokaollm_bench\outputs\unified_adaptive_arena_fixed\c1\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-geo_tier-630-004.json,0.14,0.0,0.0,5.0,5.0,0.0,0.0,1,1.0,1,1,1,1.0,0.6666666666666666,geo,"major_geo_relax,region_tree_relax",0.50166667,0.50166667,0,1,1,1.0,1,0,,0,0,0.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,1,0.0,1.0,0.0,1.0,1.0,target_agent,2,大连理工大学(盘锦校区),True,1,0,1,True,43:405:2025:628,target_agent,2,大连理工大学(盘锦校区),True,1,0,True,1,geo_tier,610-639,geo,school,0.50166667
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-major_tier-600-009,ok,False,0.0,0.0,7,gaokaollm_bench\outputs\unified_adaptive_arena_fixed\c1\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-major_tier-600-009.json,0.1333379412920327,0.5,3.6516367050894494,5.0,1.25,1.875,0.75,1,1.0,2,1,2,0.6666666666666666,0.3333333333333333,major,major_geo_relax,1.0,1.0,2,3,1,0.3333333333333333,0,1,3,2,0,0.0,"{""school"": 0.23167242661504087, ""major"": 0.07331029353983652, ""tuition"": 0.23167242661504087, ""quality"": 0.23167242661504087, ""geo"": 0.23167242661504087}",,,3,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,,,,False,0,0,1,False,,,,,False,0,0,False,1,major_tier,610-639,major,"school,quality",0.65
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-risk_tier-600-012,ok,False,0.0,0.0,7,gaokaollm_bench\outputs\unified_adaptive_arena_fixed\c1\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-risk_tier-600-012.json,0.07973167199867567,1.0,1.1956832103297512,5.0,1.25,1.875,0.75,1,1.0,2,1,2,0.6666666666666666,1.0,school,risk_band_relax,1.0,1.0,2,3,2,0.6666666666666666,2,2,5,1,0,0.0,"{""school"": 0.39493164180812224, ""major"": 0.22785082360631212, ""tuition"": 0.12573917819518854, ""quality"": 0.12573917819518854, ""geo"": 0.12573917819518854}",,,3,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,,,,False,0,0,1,False,,,,,False,0,0,False,1,risk_tier,550-579,school,school,0.25
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-major_tier-650-010,ok,False,0.0,0.0,7,gaokaollm_bench\outputs\unified_adaptive_arena_fixed\c1\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-major_tier-650-010.json,0.1333379412920327,0.5,3.6516367050894494,5.0,1.25,1.875,0.75,1,1.0,2,1,2,0.6666666666666666,0.3333333333333333,major,major_geo_relax,1.0,1.0,2,3,1,0.3333333333333333,0,1,5,1,0,0.0,"{""school"": 0.23167242661504087, ""major"": 0.07331029353983652, ""tuition"": 0.23167242661504087, ""quality"": 0.23167242661504087, ""geo"": 0.23167242661504087}",,,3,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,,,,False,0,0,1,False,,,,,False,0,0,False,1,major_tier,640-680,major,"school,quality",0.5625
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-risk_tier-590-011,ok,True,534.0,0.0,7,gaokaollm_bench\outputs\unified_adaptive_arena_fixed\c1\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-risk_tier-590-011.json,0.1119663871219152,0.0,1.0,5.0,1.25,1.875,0.75,1,1.0,2,1,2,0.6666666666666666,1.0,school,risk_band_relax,1.0,1.0,2,3,3,1.0,3,2,3,2,1,0.5,"{""school"": 0.32025209658563586, ""major"": 0.32025209658563586, ""tuition"": 0.11983193560957614, ""quality"": 0.11983193560957614, ""geo"": 0.11983193560957614}",,,3,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,target_agent,6,杭州师范大学,True,1,0,1,True,266:385:2025:590,target_agent,6,杭州师范大学,True,1,0,True,1,risk_tier,520-549,school,school,0.25
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-risk_tier-680-015,ok,True,2.0,0.0,3,gaokaollm_bench\outputs\unified_adaptive_arena_fixed\c1\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-risk_tier-680-015.json,0.15199999999999997,0.0,0.0,5.0,5.0,0.0,0.0,1,1.0,1,1,1,1.0,1.0,school,risk_band_relax,0.6,0.6,0,1,1,1.0,1,0,,0,0,0.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,1,0.0,1.0,0.0,1.0,1.0,target_agent,2,浙江大学医学院,True,1,0,1,True,7:385:2025:673,target_agent,2,浙江大学医学院,True,1,0,True,1,risk_tier,640-680,school,school,0.6
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-risk_tier-610-014,ok,True,1.0,0.0,3,gaokaollm_bench\outputs\unified_adaptive_arena_fixed\c1\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-risk_tier-610-014.json,0.15199999999999997,0.0,0.0,5.0,5.0,0.0,0.0,1,1.0,1,1,1,1.0,1.0,school,risk_band_relax,0.55,0.55,0,1,1,1.0,1,0,,0,0,0.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,1,0.0,1.0,0.0,1.0,1.0,target_agent,2,宁波大学,True,1,0,1,True,139:385:2025:610,target_agent,2,宁波大学,True,1,0,True,1,risk_tier,610-639,school,school,0.55
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-major_tier-560-006,ok,False,0.0,0.0,7,gaokaollm_bench\outputs\unified_adaptive_arena_fixed\c1\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-major_tier-560-006.json,0.1333379412920327,0.5,3.6516367050894494,5.0,1.25,1.875,0.75,1,1.0,2,1,2,0.6666666666666666,0.3333333333333333,major,major_geo_relax,1.0,1.0,2,3,2,0.6666666666666666,1,1,3,2,0,0.0,"{""school"": 0.23167242661504087, ""major"": 0.07331029353983652, ""tuition"": 0.23167242661504087, ""quality"": 0.23167242661504087, ""geo"": 0.23167242661504087}",,,3,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,,,,False,0,0,1,False,,,,,False,0,0,False,1,major_tier,520-549,major,"school,quality",0.79
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-geo_tier-520-001,ok,False,0.0,0.0,7,gaokaollm_bench\outputs\unified_adaptive_arena_fixed\c1\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-geo_tier-520-001.json,0.17348578608145965,0.0,1.0,5.0,1.25,1.875,0.75,1,1.0,2,1,2,0.6666666666666666,0.6666666666666666,geo,"major_geo_relax,region_tree_relax",1.0,1.0,2,3,1,0.3333333333333333,0,1,3,2,0,0.0,"{""school"": 0.13314276739817543, ""major"": 0.13314276739817543, ""tuition"": 0.13314276739817543, ""quality"": 0.13314276739817543, ""geo"": 0.4674289304072983}",,,3,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,,,,False,0,0,1,False,,,,,False,0,0,False,1,geo_tier,520-549,geo,school,0.6
